cell_id,x,y,group,foldchange
Loc280,0.880319069,0.304598776,C,5
Loc281,0.373063372,0.723809656,B,3
Loc282,0.047959132,0.232330029,B,3
Loc283,0.138628247,0.393458867,B,3
Loc284,0.32149212,0.507879397,B,3
Loc285,0.154831611,0.939916865,B,3
Loc286,0.132228172,0.057875171,A,1
Loc287,0.221305928,0.304765705,B,3
Loc288,0.226380796,0.240924044,A,1
Loc289,0.131416534,0.385203435,B,3
Loc290,0.98156346,0.762983356,B,3
Loc291,0.327013727,0.864646999,B,3
Loc292,0.506939497,0.679111215,B,3
Loc293,0.681442515,0.676762705,C,5
Loc294,0.099169103,0.165052519,A,1
Loc295,0.118902558,0.802867429,C,5
Loc296,0.05043966,0.711993431,B,3
Loc297,0.92925392,0.928703089,C,5
Loc298,0.673712233,0.007494605,C,5
Loc299,0.094857855,0.596331653,A,1
Loc300,0.492596121,0.366745681,A,1
Loc301,0.461551841,0.741967155,B,3
Loc302,0.375216531,0.762087391,B,3
Loc303,0.99109922,0.260722959,C,5
Loc304,0.176350714,0.254935881,B,3
Loc305,0.813435209,0.67884081,C,5
Loc306,0.068446637,0.485480662,A,1
Loc307,0.400449747,0.37858453,A,1
Loc308,0.141144326,0.055547983,A,1
Loc309,0.193309862,0.899025898,B,3
Loc310,0.841351717,0.801723314,B,3
Loc311,0.719913988,0.48101305,C,5
Loc312,0.267212083,0.032128759,B,3
Loc313,0.495001645,0.512006812,B,3
Loc314,0.083113898,0.373101272,B,3
Loc315,0.353884241,0.498571685,B,3
Loc316,0.969208805,0.399265737,C,5
Loc317,0.62471419,0.020946945,A,1
Loc318,0.66461825,0.524289028,C,5
Loc319,0.312489656,0.16039885,A,1
Loc320,0.405689613,0.205114235,A,1
Loc321,0.996077372,0.975226716,C,5
Loc322,0.855082356,0.966354875,C,5
Loc323,0.953548396,0.760070322,B,3
Loc324,0.812305092,0.076370532,C,5
Loc325,0.782182116,0.515823876,C,5
Loc326,0.267878129,0.600305195,B,3
Loc327,0.76215153,0.437024091,C,5
Loc328,0.986311589,0.001642261,A,1
Loc329,0.293605549,0.435551518,B,3
Loc330,0.399351107,0.500963769,B,3
Loc331,0.812131524,0.669604706,C,5
Loc332,0.077151669,0.694857107,B,3
Loc333,0.36369681,0.782510314,B,3
Loc334,0.442592467,0.139022846,A,1
Loc335,0.156714133,0.163245677,A,1
Loc336,0.58220527,0.75954291,C,5
Loc337,0.970162179,0.443703617,A,1
Loc338,0.989499833,0.62966883,C,5
Loc339,0.176452036,0.10451286,A,1
Loc340,0.542130424,0.835548897,B,3
Loc341,0.384303892,0.333949362,A,1
Loc342,0.676164051,0.199519189,A,1
Loc343,0.26929378,0.694545476,B,3
Loc344,0.469250942,0.165878763,A,1
Loc345,0.171800082,0.073963904,A,1
Loc346,0.369189462,0.038236188,B,3
Loc347,0.725405273,0.846020217,C,5
Loc348,0.486149104,0.373548197,A,1
Loc349,0.063802467,0.880710697,C,5
Loc350,0.78454623,0.090317772,C,5
Loc351,0.418321636,0.495907411,B,3
Loc352,0.981018085,0.754322736,B,3
Loc353,0.282883956,0.605890813,B,3
Loc354,0.84788215,0.528412797,A,1
Loc355,0.082239231,0.910206683,C,5
Loc356,0.886458751,0.985728904,C,5
Loc357,0.471930731,0.279742562,A,1
Loc358,0.109100963,0.123491695,A,1
Loc359,0.333277985,0.174379044,A,1
Loc360,0.837416569,0.881335255,B,3
Loc361,0.276849842,0.124628272,B,3
Loc362,0.587035141,0.298968905,A,1
Loc363,0.83673227,0.16473464,A,1
Loc364,0.071154024,0.072609544,A,1
Loc365,0.702778743,0.238413982,A,1
Loc366,0.698824537,0.716666605,C,5
Loc367,0.463962381,0.645020992,B,3
Loc368,0.43693111,0.075874967,A,1
Loc369,0.562176788,0.172708922,A,1
Loc370,0.928483226,0.145670358,A,1
Loc371,0.230466414,0.391901184,B,3
Loc372,0.221813754,0.231745099,A,1
Loc373,0.420215893,0.561379823,B,3
Loc374,0.333520806,0.583520187,B,3
Loc375,0.86480755,0.098759338,A,1
Loc376,0.177194536,0.158916541,A,1
Loc377,0.493318729,0.922065404,B,3
Loc378,0.429713367,0.859449719,B,3
Loc379,0.564263843,0.907198753,B,3
Loc380,0.656162316,0.115268956,C,5
Loc381,0.978554063,0.035539234,A,1
Loc382,0.232161148,0.585754388,B,3
Loc383,0.240811596,0.314168265,B,3
Loc384,0.796836084,0.556889274,C,5
Loc385,0.831671715,0.354495415,C,5
Loc386,0.113507706,0.143268312,A,1
Loc387,0.963312016,0.567135463,A,1
Loc388,0.1473229,0.334098658,B,3
Loc389,0.143626943,0.120401191,A,1
Loc390,0.925229935,0.255854324,C,5
Loc391,0.507035603,0.353385316,A,1
Loc392,0.154851017,0.831319929,C,5
Loc393,0.348302052,0.783223917,B,3
Loc394,0.659821026,0.940152207,C,5
Loc395,0.311772374,0.839199032,B,3
Loc396,0.351573409,0.148985019,A,1
Loc397,0.147845707,0.590676085,A,1
Loc398,0.658877609,0.823962601,C,5
Loc399,0.185069965,0.631885365,B,3
Loc400,0.954378137,0.469929961,A,1
Loc401,0.897848492,0.258740904,C,5
Loc402,0.943697054,0.024580351,A,1
Loc403,0.723690751,0.328808128,C,5
Loc404,0.370357066,0.224853484,A,1
Loc405,0.78101754,0.877331839,C,5
Loc406,0.011149509,0.677654201,B,3
Loc407,0.940308712,0.525933304,A,1
Loc408,0.993749226,0.557686664,A,1
Loc409,0.357405745,0.247471673,A,1
Loc410,0.747635063,0.007296771,C,5
Loc411,0.792909024,0.948906435,C,5
Loc412,0.705859006,0.719150139,C,5
Loc413,0.475825039,0.279324545,A,1
Loc414,0.494654526,0.743782856,B,3
Loc415,0.308052449,0.870748401,B,3
Loc416,0.695012246,0.380370125,C,5
Loc417,0.822793306,0.719447516,B,3
Loc418,0.434717641,0.23960671,A,1
Loc419,0.514732653,0.647764874,B,3
Loc420,0.663010968,0.975670761,C,5
Loc421,0.143166587,0.377998808,B,3
Loc422,0.344487394,0.464144129,B,3
Loc423,0.405763582,0.812296296,B,3
Loc424,0.085311006,0.494408113,A,1
Loc425,0.932571928,0.050309023,A,1
Loc426,0.838384067,0.130621741,A,1
Loc427,0.879433296,0.161438316,A,1
Loc428,0.935712468,0.08945316,A,1
Loc429,0.072460633,0.403614088,B,3
Loc430,0.378759441,0.063859868,B,3
Loc431,0.537864923,0.562005922,C,5
Loc432,0.105050139,0.336524108,B,3
Loc433,0.801687706,0.540642281,C,5
Loc434,0.739641746,0.913231222,C,5
Loc435,0.052149013,0.386880759,B,3
Loc436,0.482169573,0.960267164,B,3
Loc437,0.920517841,0.384686591,C,5
Loc438,0.041528429,0.941601979,B,3
Loc439,0.293991799,0.680635657,B,3
Loc440,0.500850487,0.902642354,B,3
Loc441,0.609748935,0.253797066,A,1
Loc442,0.26424905,0.406097129,B,3
Loc443,0.42309861,0.014248614,A,1
Loc444,0.366563616,0.110447794,B,3
Loc445,0.942505322,0.501537792,A,1
Loc446,0.123723565,0.371526648,B,3
Loc447,0.070032679,0.805915554,C,5
Loc448,0.964317038,0.007922844,A,1
Loc449,0.442510108,0.836512059,B,3
Loc450,0.37027238,0.376839179,A,1
Loc451,0.17024358,0.385248533,B,3
Loc452,0.054190429,0.951530576,B,3
Loc453,0.657828069,0.475674239,C,5
Loc454,0.578161917,0.552093794,C,5
Loc455,0.987101764,0.934716325,C,5
Loc456,0.603792401,0.863436256,C,5
Loc457,0.064949919,0.259914484,B,3
Loc458,0.162109082,0.687699835,B,3
Loc459,0.47539792,0.447907246,A,1
Loc460,0.001932835,0.218016276,B,3
Loc461,0.441459143,0.686236815,B,3
Loc462,0.260929737,0.959382025,B,3
Loc463,0.938413745,0.259404481,C,5
Loc464,0.715833284,0.468759992,C,5
Loc465,0.163085478,0.321339558,B,3
Loc466,0.476188018,0.164642815,A,1
Loc467,0.690256723,0.714727725,C,5
Loc468,0.46089518,0.528165751,B,3
Loc469,0.955146738,0.23471468,C,5
Loc470,0.712540122,0.064431662,C,5
Loc471,0.397147933,0.675763496,B,3
Loc472,0.117720612,0.806145362,C,5
Loc473,0.240116273,0.115471235,B,3
Loc474,0.863630567,0.692014421,C,5
Loc475,0.435976402,0.021786229,A,1
Loc476,0.497868052,0.361376709,A,1
Loc477,0.691927672,0.73228005,C,5
Loc478,0.760313282,0.312623042,C,5
Loc479,0.155401223,0.447153053,B,3
Loc480,0.849457093,0.825439068,B,3
Loc481,0.946817819,0.331795465,C,5
Loc482,0.58841919,0.144025167,A,1
Loc483,0.502250815,0.300920752,A,1
Loc484,0.189779918,0.162601797,A,1
Loc485,0.001836858,0.839471578,C,5
Loc486,0.877578062,0.664307477,C,5
Loc487,0.134111338,0.138867306,A,1
Loc488,0.022741224,0.325881814,B,3
Loc489,0.939136706,0.831430219,B,3
Loc490,0.292948723,0.822539104,B,3
Loc491,0.164326574,0.14939992,A,1
Loc492,0.399102556,0.42127969,B,3
Loc493,0.459575412,0.445182652,A,1
Loc494,0.434030849,0.883927376,B,3
Loc495,0.517009826,0.414997327,A,1
Loc496,0.846245753,0.689892162,C,5
Loc497,0.055164286,0.716920877,B,3
Loc498,0.554177061,0.01237917,A,1
Loc499,0.688275238,0.037829448,C,5
Loc500,0.658057554,0.090877414,C,5
Loc501,0.663342725,0.398823967,C,5
Loc502,0.472234203,0.900214576,B,3
Loc503,0.969528166,0.444902628,A,1
Loc504,0.402197063,0.755153092,B,3
Loc505,0.849552104,0.71147024,B,3
Loc506,0.756644907,0.16675635,A,1
Loc507,0.532601219,0.869142389,B,3
Loc508,0.874149661,0.089184535,A,1
Loc509,0.467115116,0.163013663,A,1
Loc510,0.008128455,0.849353688,C,5
Loc511,0.727767005,0.628130341,C,5
Loc512,0.716589479,0.208459951,A,1
Loc513,0.187426371,0.672860827,B,3
Loc514,0.646067277,0.964205691,C,5
Loc515,0.54197928,0.881738852,B,3
Loc516,0.33532076,0.961764687,B,3
Loc517,0.637908723,0.464693186,C,5
Loc518,0.829201064,0.072877357,A,1
Loc519,0.708975198,0.874308754,C,5
Loc520,0.348550351,0.198872806,A,1
Loc521,0.128327875,0.534589759,A,1
Loc522,0.388078489,0.105562191,A,1
Loc523,0.928177548,0.383995017,C,5
Loc524,0.804390771,0.747705925,C,5
Loc525,0.758696807,0.695790998,C,5
Loc526,0.957249889,0.098391772,A,1
Loc527,0.993913879,0.611531793,C,5
Loc528,0.606440995,0.020925254,A,1
Loc529,0.029377165,0.649712249,B,3
Loc530,0.336445358,0.97837807,B,3
Loc531,0.277658087,0.842504459,B,3
Loc532,0.11719755,0.842785842,C,5
Loc533,0.043218259,0.387452163,B,3
Loc534,0.370309786,0.793071102,B,3
Loc535,0.336878309,0.406196559,B,3
Loc536,0.173652553,0.253348905,B,3
Loc537,0.62177328,0.419303989,A,1
Loc538,0.397843627,0.495499533,B,3
Loc539,0.955675769,0.858245957,B,3
Loc540,0.653349443,0.732264854,C,5
Loc541,0.328743717,0.974428491,B,3
Loc542,0.197146714,0.10005491,B,3
Loc543,0.115342325,0.832590837,C,5
Loc544,0.995965479,0.450554178,C,5
Loc545,0.379276725,0.850459136,B,3
Loc546,0.561988093,0.569751544,C,5
Loc547,0.732718018,0.961542514,C,5
Loc548,0.870805553,0.954750734,C,5
Loc549,0.57217026,0.283779509,A,1
Loc550,0.011036071,0.739606498,B,3
Loc551,0.906315261,0.070742576,A,1
Loc552,0.770653632,0.900119547,C,5
Loc553,0.382504623,0.133420573,A,1
Loc554,0.094045889,0.555886078,A,1
Loc555,0.049653584,0.600408033,A,1
Loc556,0.821162318,0.132961039,A,1
Loc557,0.829324304,0.509312337,A,1
Loc558,0.654732876,0.367049908,C,5
Loc559,0.132827813,0.003304547,A,1
Loc560,0.341809901,0.04797986,B,3
Loc561,0.731371579,0.88204845,C,5
Loc562,0.907291416,0.82351704,B,3
Loc563,0.696196999,0.413030901,C,5
Loc564,0.241579222,0.921733218,B,3
Loc565,0.644107229,0.477402933,C,5
Loc566,0.280750214,0.474994424,B,3
Loc567,0.957636521,0.657836067,C,5
Loc568,0.158395957,0.163320454,A,1
Loc569,0.418338992,0.095194371,A,1
Loc570,0.252009797,0.861514792,B,3
Loc571,0.094390268,0.23987917,B,3
Loc572,0.82771777,0.555404132,A,1
Loc573,0.525305504,0.849406595,B,3
Loc574,0.667747627,0.349647581,C,5
Loc575,0.40827776,0.975738595,B,3
Loc576,0.842589903,0.86940553,B,3
Loc577,0.737305468,0.754124051,C,5
Loc578,0.348224401,0.22367342,A,1
Loc579,0.948938177,0.769816465,B,3
Loc580,0.64667919,0.874713584,C,5
Loc581,0.035277767,0.043793108,A,1
Loc582,0.596448456,0.199760707,A,1
Loc583,0.415318002,0.853742358,B,3
Loc584,0.076897038,0.652254128,B,3
Loc585,0.528048879,0.869332019,B,3
Loc586,0.962333309,0.813636587,B,3
Loc587,0.708740051,0.361447638,C,5
Loc588,0.553475704,0.090895846,A,1
Loc589,0.242956609,0.57465529,B,3
Loc590,0.778042529,0.654730414,C,5
Loc591,0.651940943,0.822204776,C,5
Loc592,0.830245704,0.455575515,A,1
Loc593,0.648550947,0.984328898,C,5
Loc594,0.479835794,0.750398378,B,3
Loc595,0.495064106,0.133555687,A,1
Loc596,0.379872591,0.215173513,A,1
Loc597,0.450485437,0.848379538,B,3
Loc598,0.81425175,0.465341185,C,5
Loc599,0.928777226,0.91576779,C,5
Loc600,0.147481045,0.916557738,B,3
Loc601,0.749821665,0.819854584,C,5
Loc602,0.97565735,0.566901158,A,1
Loc603,0.974792463,0.615477161,C,5
Loc604,0.35062557,0.79480029,B,3
Loc605,0.393949057,0.439696549,B,3
Loc606,0.950951009,0.412587253,C,5
Loc607,0.10664832,0.565485285,A,1
Loc608,0.934760117,0.151647832,A,1
Loc609,0.3461621,0.807460845,B,3
Loc610,0.533060606,0.495641366,C,5
Loc611,0.538794299,0.140509183,A,1
Loc612,0.71471795,0.110289279,C,5
Loc613,0.4057905,0.110791063,A,1
Loc614,0.152788141,0.004714279,A,1
Loc615,0.340232761,0.238404355,A,1
Loc616,0.626654848,0.878822879,C,5
Loc617,0.057372678,0.077218657,A,1
Loc618,0.85166764,0.13853856,A,1
Loc619,0.212645346,0.047524575,B,3
Loc620,0.539462028,0.033918873,A,1
Loc621,0.136487586,0.916089018,B,3
Loc622,0.32486514,0.840200394,B,3
Loc623,0.621076294,0.178871416,A,1
Loc624,0.255982249,0.495267945,B,3
Loc625,0.634875799,0.306958527,C,5
Loc626,0.485672107,0.274376962,A,1
Loc627,0.938176917,0.128243855,A,1
Loc628,0.857501537,0.429381913,C,5
Loc629,0.370883538,0.695944964,B,3
Loc630,0.31420183,0.335060718,A,1
Loc631,0.82853436,0.701246433,C,5
Loc632,0.451841513,0.840534915,B,3
Loc633,0.315878412,0.882632007,B,3
Loc634,0.097808538,0.76658935,C,5
Loc635,0.064900537,0.322027628,B,3
Loc636,0.689457366,0.042117008,C,5
Loc637,0.668050604,0.892709922,C,5
Loc638,0.904546648,0.638105145,C,5
Loc639,0.30169327,0.554493116,B,3
Loc640,0.932808705,0.766329948,B,3
Loc641,0.201983017,0.096861294,B,3
Loc642,0.792378756,0.748016488,C,5
Loc643,0.224630509,0.875217988,B,3
Loc644,0.030756571,0.007668596,A,1
Loc645,0.862034041,0.934916985,C,5
Loc646,0.685107505,0.406965658,C,5
Loc647,0.94207491,0.78876339,B,3
Loc648,0.67585376,0.976127625,C,5
Loc649,0.843120148,0.333402546,C,5
Loc650,0.361894185,0.787214821,B,3
Loc651,0.392365885,0.089360916,A,1
Loc652,0.567687398,0.043699902,A,1
Loc653,0.095152134,0.514933738,A,1
Loc654,0.193784072,0.048089328,B,3
Loc655,0.588066393,0.089196128,A,1
Loc656,0.751504168,0.688325522,C,5
Loc657,0.867238787,0.034838534,A,1
Loc658,0.371795737,0.430910924,B,3
Loc659,0.79881455,0.759294051,C,5
Loc660,0.058314393,0.831796955,C,5
Loc661,0.623435709,0.382462517,A,1
Loc662,0.356641407,0.615554819,B,3
Loc663,0.587927932,0.34498665,A,1
Loc664,0.913784642,0.532278774,A,1
Loc665,0.199442183,0.260009107,B,3
